NOMOD,MINOR,MAJOR
22535693,22537084,22529652
22535720,22537084,22529688
22535722,22537087,22529694
22535723,22537090,22529702
22535726,22537108,22529709
22535729,22537152,22529715
22535731,22537158,22529717
22535752,22537179,22529718
22535761,22537197,22529726
22535764,22537197,22529727
22535788,22537209,22529729
22535791,22537230,22529744
22535800,22537242,22529747
22535809,22537254,22529759
22535812,22537260,22529762
22535812,22537277,22529765
22535818,22537277,22529768
22535821,22537295,22529777
22535824,22537298,22529780
22535839,22537322,22529795
22535839,22537325,22529801
22535839,22537328,22529804
22535847,22537340,22529804
22535850,22537343,22529807
22535857,22537358,22529810
22535863,22537361,22529819
22535871,22537376,22529831
22535872,22537376,22529842
22535874,22537391,22529860
22535877,22537391,22529866
22535880,22537391,22529879
22535884,22537393,22529885
22535884,22537394,22529893
22535889,22537406,22529911
22535901,22537406,22529920
22535919,22537435,22529923
22535934,22537438,22529929
22535955,22537444,22529938
22535955,22537459,22529950
22535958,22537471,22529959
22535964,22537474,22529965
22535970,22537477,22529968
22535970,22537480,22529974
22535982,22537483,22530028
22535985,22537504,22530033
22536024,22537510,22530042
22536044,22537522,22530042
22536048,22537528,22530045
22536053,22537534,22530057
22536059,22537554,22530072
22536062,22537566,22530072
22536089,22537566,22530084
22536098,22537569,22530084
22536110,22537578,22530093
22536113,22537581,22530102
22536119,22537602,22530111
22536131,22537623,22530111
22536145,22537629,22530114
22536169,22537632,22530123
22536175,22537638,22530134
22536181,22537653,22530158
22536181,22537656,22530170
22536187,22537662,22530176
22536199,22537679,22530179
22536208,22537688,22530182
22536208,22537703,22530203
22536211,22537712,22530209
22536226,22537719,22530224
22536226,22537739,22530236
22536238,22537745,22530239
22536244,22537751,22530239
22536247,22537757,22530251
22536256,22537775,22530254
22536259,22537775,22530269
22536262,22537781,22530298
22536273,22537784,22530301
22536274,22537810,22530310
22536279,22537819,22530313
22536282,22537823,22530316
22536289,22537858,22530319
22536324,22537858,22530322
22536327,22537861,22530325
22536327,22537870,22530334
22536330,22537876,22530340
22536354,22537888,22530340
22536354,22537900,22530343
22536360,22537912,22530346
22536366,22537915,22530385
22536381,22537918,22530387
22536384,22537921,22530394
22536405,22537927,22530438
22536408,22537933,22530453
22536408,22537938,22530462
22536425,22537983,22530480
22536450,22538019,22530492
22536464,22538019,22530495
22536467,22538028,22530528
22536467,22538034,22530543
22536467,22538037,22530543
22536470,22538061,22530554
22536473,22538117,22530599
22536488,22538123,22530605
22536494,22538138,22530605
22536506,22538141,22530611
22536506,22538183,22530611
22536506,22538183,22530626
22536512,22538186,22530629
22536527,22538198,22530632
22536554,22538216,22530659
22536557,22538243,22530668
22536586,22538263,22530668
22536601,22538267,22530677
22536610,22538293,22530683
22536613,22538296,22530697
22536640,22538320,22530709
22536649,22538335,22530718
22536664,22538341,22530718
22536667,22538356,22530721
22536679,22538374,22530739
22536682,22538379,22530739
22536705,22538406,22530745
22536721,22538412,22530748
22536732,22538427,22530748
22536741,22538434,22530754
22536759,22538439,22530763
22536762,22538529,22530784
22536765,22538553,22530793
22536792,22538564,22530810
22536813,22538570,22530811
22536816,22538573,22530834
22536822,22538579,22530852
22536830,22538585,22530879
22536839,22538585,22530882
22536839,22538606,22530885
22536854,22538615,22530885
22536861,22538615,22530891
22536873,22538618,22530891
22536876,22538627,22530921
22536884,22538639,22530924
22536899,22538659,22530930
22536914,22538666,22530963
22536926,22538690,22530984
22536935,22538710,22530987
22536941,22538713,22531022
22536959,22538746,22531022
22536992,22538755,22531028
22537004,22538758,22531031
22537009,22538761,22531037
22537018,22538767,22531040
22537021,22538782,22531064
22537022,22538809,22531067
22537024,22538817,22531067
22537027,22538853,22531081
22537033,22538868,22531087
22537036,22538871,22531087
22537042,22538898,22531129
22537051,22538901,22531141
22537060,22538904,22531156
22537072,22538913,22531162
22537084,22538916,22531165
22537135,22538934,22531168
22537143,22538946,22531177
22537146,22538948,22531192
22537147,22538948,22531192
22537152,22538972,22531192
22537164,22538978,22531201
22537167,22538987,22531201
22537182,22538993,22531231
22537182,22539002,22531234
22537197,22539002,22531240
22537197,22539002,22531243
22537200,22539011,22531246
22537209,22539026,22531249
22537215,22539047,22531251
22537224,22539047,22531293
22537245,22539065,22531305
22537254,22539067,22531305
22537254,22539080,22531314
22537298,22539088,22531323
22537313,22539136,22531329
22537325,22539139,22531353
22537331,22539154,22531356
22537340,22539157,22531427
22537349,22539157,22531427
22537355,22539163,22531439
22537364,22539190,22531442
22537381,22539190,22531445
22537385,22539214,22531466
22537393,22539222,22531469
22537396,22539237,22531472
22537427,22539247,22531478
22537429,22539258,22531478
22537471,22539265,22531502
22537480,22539267,22531514
22537480,22539282,22531526
22537483,22539285,22531532
22537483,22539294,22531558
22537486,22539294,22531564
22537519,22539315,22531573
22537543,22539315,22531579
22537557,22539362,22531585
22537563,22539363,22531594
22537566,22539381,22531606
22537566,22539387,22531612
22537575,22539428,22531633
22537596,22539431,22531645
22537620,22539431,22531645
22537620,22539434,22531648
22537629,22539443,22531651
22537635,22539464,22531654
22537638,22539473,22531668
22537646,22539488,22531671
22537653,22539500,22531677
22537656,22539520,22531680
22537656,22539532,22531689
22537659,22539568,22531716
22537670,22539592,22531725
22537673,22539616,22531755
22537688,22539667,22531758
22537694,22539684,22531761
22537703,22539684,22531776
22537716,22539687,22531782
22537718,22539690,22531802
22537722,22539702,22531818
22537724,22539705,22531832
22537736,22539705,22531862
22537736,22539708,22531865
22537763,22539714,22531868
22537769,22539732,22531880
22537781,22539753,22531898
22537781,22539759,22531913
22537796,22539786,22531928
22537802,22539815,22531934
22537823,22539848,22531934
22537852,22539896,22531937
22537855,22539914,22531981
22537861,22539937,22531996
22537864,22539962,22532002
22537868,22539967,22532005
22537879,22539979,22532014
22537885,22540003,22532044
22537903,22540030,22532046
22537906,22540051,22532050
22537906,22540063,22532050
22537906,22540066,22532053
22537921,22540069,22532071
22537921,22540089,22532083
22537924,22540119,22532094
22537960,22540146,22532097
22537981,22540152,22532121
22538022,22540152,22532139
22538022,22540158,22532139
22538034,22540170,22532142
22538037,22540176,22532142
22538043,22540179,22532157
22538046,22540221,22532160
22538046,22540223,22532184
22538064,22540224,22532193
22538091,22540244,22532213
22538091,22540247,22532216
22538099,22540253,22532222
