0-BINSEARCH[56](2020){1},0-BINSEARCH[56](2020){4095},0-BINSEARCH[56](2020){2048},0-BINSEARCH[56](2020){1792},0-BINSEARCH[56](2020){1920},0-BINSEARCH[56](2020){1984},0-BINSEARCH[56](2020){2048},0-BINSEARCH[56](2020){2016},0-BINSEARCH[56](2020){2032},0-BINSEARCH[56](2020){2024},0-BINSEARCH[56](2020){1},0-BINSEARCH[56](2020){4095},0-BINSEARCH[56](2020){2048},0-BINSEARCH[56](2020){1792},0-BINSEARCH[56](2020){1920},0-BINSEARCH[56](2020){1984},0-BINSEARCH[56](2020){2048},0-BINSEARCH[56](2020){2016},0-BINSEARCH[56](2020){2032},0-BINSEARCH[56](2020){2024},0-BINSEARCH[56](2020){2020},0-BINSEARCH[56](2020){2016},0-BINSEARCH[56](2020){2018},0-BINSEARCH[56](2020){2019},0-BINSEARCH[57](1900){1},0-BINSEARCH[57](1900){4095},0-BINSEARCH[57](1900){2048},0-BINSEARCH[57](1900){1792},0-BINSEARCH[57](1900){1},0-BINSEARCH[57](1900){4095},0-BINSEARCH[57](1900){2048},0-BINSEARCH[57](1900){1792},0-BINSEARCH[57](1900){1920},0-BINSEARCH[57](1900){1856},0-BINSEARCH[57](1900){1888},0-BINSEARCH[57](1900){1904},0-BINSEARCH[57](1900){1896},0-BINSEARCH[57](1900){1},0-BINSEARCH[57](1900){4095},0-BINSEARCH[57](1900){2048}
12635993,12631723,12631881,12636412,12636223,12635722,12632722,12636430,12631843,12632116,12636093,12627013,12631835,12635914,12636706,12636509,12632083,12636172,12632911,12632796,12630943,12637309,12637207,12636637,12636131,12631582,12631618,12637005,12635638,12626857,12632433,12636205,12632221,12637156,12637069,12632663,12635648,12635229,12630473,12631015
12636003,12631728,12631978,12636412,12636274,12635758,12632750,12636435,12631889,12632119,12636164,12627120,12631863,12636154,12636821,12636601,12632101,12636177,12632967,12632814,12630979,12637314,12637245,12636665,12636139,12631585,12631646,12637018,12635653,12626949,12632446,12636274,12632257,12637174,12637092,12632681,12635776,12635239,12630478,12631030
12636034,12631761,12631986,12636458,12636277,12635763,12632750,12636476,12631917,12632124,12636172,12627184,12631866,12636167,12636829,12636627,12632124,12636770,12632998,12632870,12631296,12637386,12637245,12636706,12636177,12631610,12631654,12637028,12635924,12627069,12632451,12636300,12632285,12637217,12637125,12632686,12635781,12635257,12630527,12631066
12636034,12631779,12631996,12636489,12636307,12635786,12632865,12636504,12631937,12632147,12636190,12627207,12631871,12636241,12636849,12636670,12632193,12636844,12633011,12632875,12631508,12637437,12637258,12636762,12636269,12631669,12631756,12637074,12635939,12627143,12632479,12636330,12632295,12637258,12637143,12632704,12635786,12635262,12630575,12631130
12636039,12631871,12632014,12636512,12636325,12635796,12632865,12636509,12631945,12632167,12636200,12627217,12631886,12636279,12636900,12636688,12632193,12636880,12633054,12632888,12631710,12637483,12637281,12636775,12636297,12631679,12631761,12637084,12635980,12627414,12632510,12636356,12632303,12637268,12637166,12632727,12635809,12635262,12630611,12631150
12636057,12631904,12632129,12636522,12636333,12635799,12632878,12636545,12632009,12632221,12636200,12627220,12631899,12636348,12636949,12636714,12632203,12636949,12633082,12632903,12631797,12637483,12637286,12636803,12636315,12631705,12631871,12637115,12636080,12627557,12632515,12636420,12632336,12637304,12637171,12632763,12635952,12635318,12630616,12631163
12636118,12631932,12632142,12636535,12636333,12635819,12632888,12636568,12632009,12632221,12636254,12627368,12631940,12636353,12636977,12636790,12632234,12636977,12633090,12632929,12631815,12637521,12637291,12636926,12636320,12631774,12631935,12637120,12636085,12627764,12632525,12636425,12632377,12637337,12637179,12632783,12635957,12635326,12630616,12631186
12636121,12631935,12632144,12636627,12636361,12635850,12632947,12636655,12632009,12632236,12636310,12627419,12631968,12636425,12636997,12636803,12632252,12636982,12633095,12632939,12631930,12637549,12637322,12636987,12636343,12631815,12631963,12637128,12636098,12628173,12632561,12636609,12632392,12637350,12637189,12632806,12636016,12635344,12630616,12631186
12636136,12631991,12632165,12636688,12636376,12635870,12632970,12636693,12632047,12632267,12636310,12627994,12632024,12636453,12637189,12636862,12632290,12637046,12633095,12632980,12631978,12637570,12637358,12637051,12636509,12631853,12631978,12637207,12636159,12628178,12632579,12636683,12632405,12637355,12637199,12632824,12636016,12635385,12630624,12631199
12636154,12632014,12632188,12636711,12636392,12635911,12632980,12636711,12632070,12632272,12636343,12628104,12632027,12636504,12637194,12636880,12632331,12637069,12633141,12633016,12632009,12637618,12637396,12637079,12636540,12631863,12632014,12637227,12636200,12628436,12632589,12636762,12632446,12637386,12637212,12632847,12636029,12635469,12630680,12631237
12636167,12632060,12632272,12636770,12636425,12635998,12632998,12636734,12632180,12632308,12636356,12628357,12632027,12636558,12637197,12636928,12632410,12637087,12633146,12633041,12632009,12637626,12637414,12637097,12636591,12631889,12632029,12637248,12636241,12629627,12632617,12636767,12632533,12637473,12637212,12632860,12636123,12635497,12630716,12631245
12636185,12632129,12632295,12636770,12636448,12636031,12633049,12636829,12632193,12632313,12636371,12628715,12632032,12636560,12637222,12636941,12632413,12637189,12633205,12633044,12632078,12637626,12637419,12637125,12636601,12631940,12632060,12637391,12636251,12629847,12632622,12636793,12632543,12637488,12637235,12632893,12636141,12635515,12630731,12631268
12636200,12632198,12632326,12636811,12636458,12636131,12633082,12636854,12632254,12632336,12636445,12628909,12632055,12636596,12637253,12636944,12632428,12637281,12633261,12633049,12632124,12637644,12637457,12637133,12636604,12631973,12632073,12637506,12636259,12630230,12632658,12636821,12632548,12637521,12637243,12632896,12636162,12635533,12630749,12631283
12636251,12632203,12632364,12636839,12636514,12636149,12633151,12636857,12632300,12632400,12636489,12629323,12632070,12636614,12637258,12636982,12632441,12637309,12633274,12633054,12632236,12637649,12637506,12637166,12636632,12631976,12632190,12637521,12636269,12630253,12632666,12636839,12632576,12637562,12637253,12632901,12636187,12635543,12630749,12631301
12636259,12632208,12632410,12636885,12636522,12636154,12633154,12636867,12632326,12632405,12636499,12629967,12632078,12636624,12637299,12637023,12632469,12637314,12633307,12633067,12632244,12637695,12637519,12637189,12636675,12631991,12632216,12637524,12636315,12630299,12632681,12636844,12632576,12637618,12637327,12632929,12636190,12635551,12630754,12631329
