0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1792},0-BINSEARCH[56](1935){1920},0-BINSEARCH[56](1935){1984},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1792},0-BINSEARCH[56](1935){1568},0-BINSEARCH[56](1935){1680},0-BINSEARCH[56](1935){1736},0-BINSEARCH[56](1935){1792},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1792}
14135404,14132552,14133053,14137101,14132110,14133413,14137190,14137198,14133362,14145703,14141734,14142148,14137543,14145741,14146086,14146081,14146311,14136794,14141619,14145253,14142373,14134090,14147226
14135455,14132598,14133063,14137124,14132156,14133431,14137198,14137208,14133367,14145713,14141785,14142184,14137548,14145764,14146109,14146117,14146347,14136797,14141688,14145276,14142373,14134106,14147254
14135473,14132603,14133091,14137144,14132158,14133436,14137203,14137216,14133375,14145741,14141836,14142189,14137579,14145777,14146173,14146178,14146352,14136804,14141706,14145281,14142396,14134106,14147264
14135478,14132621,14133137,14137172,14132158,14133444,14137226,14137221,14133380,14145777,14141844,14142199,14137584,14145782,14146173,14146206,14146393,14136848,14141729,14145299,14142409,14134116,14147277
14135506,14132631,14133140,14137172,14132166,14133487,14137241,14137244,14133390,14145800,14141854,14142204,14137622,14145818,14146178,14146224,14146403,14136858,14141744,14145314,14142580,14134121,14147313
14135529,14132685,14133201,14137190,14132171,14133495,14137259,14137262,14133431,14145810,14141857,14142225,14137635,14145833,14146178,14146229,14146431,14136891,14141762,14145332,14142641,14134159,14147369
14135555,14132700,14133214,14137239,14132181,14133523,14137282,14137300,14133462,14145833,14141862,14142286,14137663,14145884,14146209,14146247,14146434,14136891,14141762,14145332,14142644,14134177,14147415
14135557,14132741,14133219,14137239,14132189,14133523,14137295,14137374,14133487,14145841,14141872,14142327,14137671,14145887,14146224,14146265,14146439,14136904,14141798,14145335,14142654,14134236,14147433
14135598,14132769,14133239,14137244,14132199,14133587,14137308,14137387,14133564,14145846,14141913,14142355,14137678,14145925,14146229,14146288,14146495,14136922,14141844,14145340,14142692,14134249,14147433
14135621,14132769,14133252,14137244,14132199,14133625,14137310,14137392,14133605,14145851,14141931,14142355,14137686,14145938,14146275,14146324,14146559,14136942,14141862,14145345,14142695,14134259,14147433
14135621,14132800,14133270,14137267,14132212,14133638,14137313,14137397,14133656,14145869,14141933,14142378,14137709,14145961,14146311,14146344,14146569,14137006,14141872,14145360,14142731,14134264,14147494
