0-BINSEARCH[56](2042){1},0-BINSEARCH[56](2042){4095},0-BINSEARCH[56](2042){2048},0-BINSEARCH[56](2042){1792},0-BINSEARCH[56](2042){1920},0-BINSEARCH[56](2042){1},0-BINSEARCH[56](2042){4095},0-BINSEARCH[56](2042){2048},0-BINSEARCH[56](2042){1792},0-BINSEARCH[56](2042){1920},0-BINSEARCH[56](2042){1856},0-BINSEARCH[56](2042){1888},0-BINSEARCH[56](2042){1904},0-BINSEARCH[56](2042){1896},0-BINSEARCH[56](2042){1892},0-BINSEARCH[56](2042){1892},0-BINSEARCH[56](2042){1894},0-BINSEARCH[56](2042){1894},0-BINSEARCH[56](2042){1895},0-BINSEARCH[56](2042){1895},0-BINSEARCH[56](2042){1894}
14158332,14155089,14155779,14159048,14159048,14160093,14155143,14148069,14159646,14150589,14160234,14160995,14150236,14151080,14157269,14160471,14157111,14159835,14152595,14151049,14149378
14158340,14155092,14155792,14159089,14159071,14160093,14155148,14148110,14159651,14150594,14160244,14161003,14150254,14151085,14157338,14160525,14157131,14159840,14152618,14151072,14149411
14158340,14155112,14155797,14159091,14159122,14160103,14155156,14148118,14159669,14150594,14160290,14161072,14150254,14151095,14157392,14160538,14157139,14159845,14152682,14151077,14149426
14158350,14155115,14155833,14159091,14159155,14160103,14155194,14148118,14159674,14150612,14160295,14161085,14150267,14151100,14157397,14160543,14157154,14159858,14152682,14151077,14149429
14158353,14155133,14155838,14159122,14159168,14160106,14155240,14148207,14159689,14150640,14160331,14161100,14150267,14151118,14157407,14160543,14157157,14159858,14152687,14151080,14149508
14158355,14155184,14155843,14159122,14159176,14160134,14155253,14148215,14159697,14150643,14160369,14161105,14150267,14151118,14157451,14160543,14157157,14159863,14152687,14151085,14149518
14158409,14155204,14155866,14159122,14159178,14160139,14155258,14148251,14159715,14150676,14160402,14161123,14150300,14151141,14157458,14160553,14157200,14159876,14152733,14151118,14149523
14158427,14155212,14155884,14159127,14159178,14160144,14155266,14148256,14159761,14150676,14160410,14161128,14150328,14151146,14157471,14160561,14157213,14159922,14152769,14151126,14149577
14158483,14155212,14155892,14159150,14159178,14160149,14155281,14148271,14159766,14150676,14160410,14161151,14150344,14151169,14157494,14160594,14157254,14159922,14152784,14151177,14149585
14158519,14155212,14155920,14159168,14159186,14160170,14155281,14148284,14159771,14150681,14160423,14161169,14150354,14151169,14157517,14160594,14157287,14159932,14152792,14151182,14149595
14158524,14155222,14155925,14159168,14159206,14160170,14155312,14148312,14159789,14150694,14160474,14161174,14150359,14151172,14157522,14160594,14157310,14159935,14152856,14151202,14149605
14158534,14155225,14155984,14159201,14159224,14160170,14155319,14148358,14159789,14150696,14160517,14161177,14150387,14151195,14157540,14160617,14157346,14159955,14152889,14151205,14149608
14158547,14155235,14155994,14159237,14159227,14160180,14155355,14148363,14159807,14150727,14160548,14161179,14150395,14151205,14157553,14160635,14157351,14159958,14152894,14151241,14149610
14158552,14155240,14155994,14159242,14159237,14160180,14155355,14148368,14159807,14150727,14160553,14161197,14150395,14151205,14157604,14160635,14157351,14159986,14152925,14151248,14149613
14158552,14155248,14156012,14159255,14159237,14160203,14155368,14148399,14159807,14150732,14160566,14161202,14150405,14151205,14157660,14160658,14157369,14159996,14152925,14151251,14149613
14158570,14155253,14156035,14159275,14159265,14160221,14155386,14148409,14159822,14150760,14160576,14161210,14150405,14151210,14157663,14160663,14157374,14160006,14152958,14151264,14149628
14158575,14155271,14156081,14159275,14159301,14160221,14155404,14148412,14159840,14150763,14160612,14161228,14150433,14151251,14157668,14160691,14157392,14160083,14152976,14151266,14149651
14158580,14155299,14156150,14159291,14159306,14160236,14155419,14148422,14159853,14150788,14160622,14161243,14150441,14151256,14157681,14160694,14157402,14160088,14152981,14151279,14149656
14158593,14155360,14156173,14159298,14159316,14160239,14155419,14148440,14159858,14150796,14160622,14161253,14150451,14151266,14157714,14160694,14157410,14160093,14152981,14151284,14149669
14158593,14155360,14156219,14159298,14159319,14160239,14155419,14148473,14159863,14150801,14160627,14161274,14150456,14151269,14157729,14160709,14157420,14160096,14153012,14151294,14149669
