0-NOMOD,0-MINOR[63],0-MAJOR[63]
14153027,14153073,14149937
14153027,14153078,14149940
14153042,14153106,14149945
14153050,14153124,14149945
14153055,14153129,14149968
14153055,14153137,14149978
14153065,14153137,14149996
14153073,14153142,14149996
14153073,14153147,14150001
14153073,14153147,14150014
14153083,14153150,14150037
14153091,14153165,14150060
14153101,14153170,14150073
14153101,14153178,14150083
14153106,14153178,14150088
14153106,14153188,14150093
14153106,14153193,14150111
14153109,14153196,14150116
14153114,14153198,14150116
14153114,14153206,14150119
14153124,14153216,14150137
14153129,14153224,14150147
14153129,14153234,14150147
14153147,14153234,14150152
14153155,14153239,14150152
14153157,14153244,14150165
14153160,14153247,14150175
14153170,14153252,14150180
14153183,14153290,14150180
14153188,14153295,14150198
14153193,14153303,14150198
14153198,14153303,14150203
14153206,14153321,14150203
14153211,14153321,14150213
14153216,14153321,14150221
14153224,14153336,14150221
14153229,14153339,14150226
14153229,14153359,14150239
14153239,14153385,14150267
14153242,14153390,14150267
14153247,14153400,14150295
14153247,14153400,14150308
14153249,14153403,14150313
14153252,14153423,14150326
14153257,14153431,14150326
14153257,14153469,14150331
14153262,14153469,14150341
14153262,14153492,14150346
14153265,14153495,14150351
14153267,14153510,14150359
14153267,14153515,14150364
14153270,14153518,14150369
14153275,14153528,14150374
14153275,14153528,14150382
14153298,14153546,14150397
14153308,14153561,14150400
14153313,14153579,14150400
14153316,14153584,14150405
14153326,14153589,14150438
14153326,14153594,14150441
14153344,14153602,14150451
14153349,14153607,14150459
14153349,14153607,14150464
14153354,14153625,14150464
14153354,14153630,14150464
14153362,14153630,14150474
14153362,14153635,14150492
14153372,14153648,14150502
14153385,14153661,14150505
14153390,14153671,14150510
14153395,14153676,14150512
14153400,14153707,14150515
14153410,14153712,14150520
14153413,14153722,14150533
14153418,14153722,14150543
14153418,14153725,14150551
14153428,14153735,14150574
14153428,14153753,14150630
14153436,14153758,14150643
14153446,14153768,14150648
14153454,14153778,14150653
14153459,14153781,14150658
14153469,14153786,14150658
14153469,14153791,14150676
14153477,14153804,14150676
14153479,14153817,14150694
14153492,14153819,14150699
14153502,14153827,14150709
14153515,14153827,14150712
14153518,14153827,14150722
14153528,14153832,14150727
14153528,14153850,14150732
14153533,14153855,14150735
14153533,14153855,14150740
14153546,14153863,14150750
14153556,14153868,14150760
14153556,14153868,14150760
14153561,14153868,14150768
14153561,14153873,14150786
14153566,14153878,14150791
14153569,14153883,14150819
14153574,14153891,14150837
14153579,14153909,14150842
14153579,14153911,14150860
14153584,14153934,14150870
14153584,14153937,14150893
14153602,14153939,14150898
14153612,14153952,14150898
14153620,14153960,14150906
14153625,14153962,14150911
14153630,14153980,14150911
14153643,14154006,14150911
14153648,14154024,14150921
14153648,14154026,14150924
14153658,14154031,14150929
14153661,14154034,14150934
14153671,14154044,14150939
14153671,14154044,14150944
14153676,14154067,14150967
14153684,14154072,14150975
14153699,14154072,14150993
14153699,14154075,14150995
14153699,14154090,14151008
14153709,14154098,14151008
14153709,14154103,14151011
14153712,14154103,14151021
14153717,14154108,14151039
14153722,14154121,14151044
14153722,14154154,14151054
14153725,14154154,14151072
14153740,14154159,14151072
14153740,14154159,14151077
14153740,14154172,14151077
14153745,14154177,14151080
14153748,14154177,14151082
14153748,14154195,14151090
14153753,14154200,14151095
14153758,14154223,14151100
14153763,14154233,14151105
14153768,14154238,14151105
14153768,14154251,14151118
14153781,14154287,14151126
14153786,14154292,14151141
14153791,14154302,14151169
14153791,14154305,14151177
14153796,14154315,14151200
14153809,14154338,14151202
14153809,14154343,14151202
14153809,14154348,14151210
14153814,14154356,14151228
14153824,14154366,14151256
14153824,14154379,14151256
14153824,14154379,14151261
14153827,14154384,14151261
14153837,14154399,14151271
14153837,14154412,14151274
14153842,14154415,14151289
14153842,14154420,14151297
14153842,14154420,14151302
14153850,14154425,14151312
14153873,14154435,14151312
14153883,14154435,14151317
14153891,14154435,14151325
14153896,14154448,14151338
14153901,14154458,14151348
14153906,14154463,14151371
14153932,14154466,14151376
14153934,14154466,14151394
14153934,14154499,14151435
14153937,14154504,14151435
14153947,14154504,14151445
14153957,14154512,14151463
14153957,14154522,14151471
14153965,14154545,14151486
14153993,14154545,14151491
14154003,14154568,14151491
14154016,14154568,14151504
14154016,14154568,14151504
14154016,14154591,14151509
14154021,14154591,14151517
14154034,14154591,14151532
14154039,14154596,14151532
14154039,14154614,14151545
14154039,14154619,14151560
14154039,14154627,14151560
14154049,14154660,14151560
14154054,14154668,14151565
14154057,14154670,14151573
14154062,14154670,14151578
14154075,14154675,14151591
14154085,14154683,14151591
14154090,14154688,14151596
14154095,14154693,14151606
14154100,14154711,14151611
14154116,14154711,14151616
14154121,14154734,14151619
14154126,14154739,14151629
14154126,14154742,14151629
14154131,14154742,14151634
14154144,14154744,14151647
14154149,14154747,14151660
14154149,14154757,14151660
14154159,14154757,14151665
14154164,14154762,14151665
14154167,14154762,14151675
14154213,14154765,14151688
14154213,14154770,14151693
14154223,14154775,14151698
14154228,14154785,14151698
14154238,14154788,14151706
14154264,14154793,14151716
14154269,14154803,14151716
14154269,14154806,14151716
14154274,14154806,14151724
14154284,14154816,14151734
14154287,14154821,14151757
14154287,14154821,14151772
14154292,14154826,14151785
14154297,14154834,14151795
14154305,14154836,14151798
